GHSV_h,co2_conversion,meoh_yield,meoh_selectivity,h2o_removal_fraction
200.0,0.8768279082145554,0.5508152819095055,0.6281908647628535,0.9916178013184749
292.8571428571429,0.8213678609836076,0.5722910926199859,0.696753695639678,0.98451054902992
385.7142857142857,0.7748504113110887,0.569951244675389,0.7355629375107394,0.975351520452211
478.57142857142856,0.734568671399943,0.5585347354061205,0.7603574140204802,0.9641319371280503
571.4285714285714,0.6989771482680925,0.5429573585183203,0.7767884255782124,0.950992157676302
664.2857142857143,0.6670933312856633,0.5251734221326244,0.7872562915903805,0.9362684716070453
757.1428571428571,0.6382122574566532,0.5059775159197456,0.7928044471225328,0.9205040793865022
850.0,0.6118073304946146,0.4857782727309035,0.7940053159189462,0.9043523986427209
942.8571428571429,0.5875242716335602,0.46502549127234344,0.7915000515287316,0.8883706700645893
1035.7142857142858,0.5651491578182724,0.44424628389338766,0.7860690894566247,0.872893550181789
1128.5714285714287,0.5445398846810215,0.4239091407925132,0.7784721610260542,0.8580595777434074
1221.4285714285716,0.5255748862996794,0.40434684143185,0.7693420138063713,0.8438908956081872
1314.2857142857142,0.5081327851287901,0.38575713628855257,0.7591660045922435,0.830355477033509
1407.142857142857,0.4920898988597176,0.36823443336629713,0.7483072386155024,0.8174017668673134
1500.0,0.47732364583736775,0.3518034089538339,0.737033272962344,0.8049750543350853
